,name,label
0,"09 Kasım 2022: Bairro Alto Hotel transfer, check-in ve serbest zaman",ACTIVITY
1,09 Kasım 2022: İstanbul – Lizbon uçuşu (TK 1759),ACTIVITY
2,1950’lerden kalma Amerikan arabaları ile Havana turu,ACTIVITY
3,2018-11-14,DATE_START
4,2018-11-21,DATE_END
5,2022-07-08,DATE_START
6,2022-07-19,DATE_END
7,2023-12-06,DATE_START
8,2023-12-16,DATE_END
9,2024-01-08,DATE_START
10,2024-01-15,DATE_END
11,2024-01-17,DATE_END
12,2024-04-06,DATE_START
13,2024-04-13,DATE_END
14,2024-04-20,DATE_START
15,2024-04-25,DATE_END
16,2025-01-04,DATE_START
17,2025-01-19,DATE_START
18,2025-01-22,DATE_END
19,2025-01-22,DATE_START
20,2025-01-24,DATE_END
21,2025-01-30,DATE_END
22,2025-02-05,DATE_START
23,2025-02-18,DATE_END
24,2025-04-20,DATE_START
25,2025-04-23,DATE_END
26,2025-05-04,DATE_START
27,2025-05-07,DATE_END
28,2025-05-18,DATE_START
29,2025-05-24,DATE_END
30,2025-06-20,DATE_START
31,2025-06-23,DATE_END
32,2025-06-24,DATE_END
33,2025-08-04,DATE_START
34,2025-08-08,DATE_END
35,2025-08-18,DATE_START
36,2025-08-25,DATE_END
37,2025-09-12,DATE_START
38,2025-09-15,DATE_END
39,2025-09-21,DATE_START
40,2025-09-23,DATE_END
41,2025-10-03,DATE_START
42,2025-10-06,DATE_END
43,2025-10-07,DATE_START
44,2025-10-11,DATE_END
45,2025-11-09,DATE_START
46,2025-11-11,DATE_END
47,2025-12-07,DATE_START
48,2025-12-16,DATE_END
49,2025-12-20,DATE_START
50,2025-12-25,DATE_END
51,2025-12-25,DATE_START
52,2025-12-29,DATE_END
53,2026-01-03,DATE_END
54,2026-01-25,DATE_START
55,59. Venedik Bienali,TRIP
56,A-Ma Tapınağı,ACTIVITY
57,ABD,HIGHLIGHT
58,ACE Hotel Kyoto,HOTEL
59,ACROPOLIS TOUR,ACTIVITY
60,AMALFI TURU 20 – 23 HAZİRAN,TRIP
61,AMALFI TURU 20 – 24 HAZİRAN,TRIP
62,ARCHITECTURE,HIGHLIGHT
63,ARLES TURU 03 – 06 EKİM,TRIP
64,ART,HIGHLIGHT
65,ATHENS,CITY
66,ATHENS PLAZA HOTEL,HOTEL
67,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,TRIP
68,AYASOFYA CAMII,ACTIVITY
69,Aarti töreni,HIGHLIGHT
70,Abbaye Sainte-Marie-Madeleine - Vézelay,ACTIVITY
71,Abu Dhabi,CITY
72,Abu Dhabi,HIGHLIGHT
73,Abu Dhabi – Ras Al Khaimah transferi,TRANSPORT
74,Ada içi özel araç transferleri,TRANSPORT
75,"Address Dubai Mall, Dubai",HOTEL
76,Adelaide,CITY
77,Adelaide - Brisbane İç Hat Uçuşu,TRANSPORT
78,Adolf Hitler’in Kartal Yuvası,ACTIVITY
79,Aerolineas Argentinas AR1783 Iguazú - Buenos Aires,TRANSPORT
80,Aeroméxico AM826D,TRANSPORT
81,Agzikarahan Kervansarayı,ACTIVITY
82,Ai Weiwei sergisi,ACTIVITY
83,Air India AI406,TRANSPORT
84,Air Kenya iç hat uçuşu,TRANSPORT
85,Aix-en-Provence,CITY
86,Aix-en-Provence,HIGHLIGHT
87,Akihabara gezisi,ACTIVITY
88,Akşam Safari,ACTIVITY
89,Akşam safari,ACTIVITY
90,Alberobello,CITY
91,Alberobello,HIGHLIGHT
92,Alberobello Trulli Evleri,ACTIVITY
93,Alcazaba,ACTIVITY
94,Alcazar Kalesi - Córdoba,ACTIVITY
95,Alcázar - Sevilla,ACTIVITY
96,Alegra Benardete ile Sicilya’da Nefes,TRIP
97,Ali ibn Yusuf Medresesi ziyareti,ACTIVITY
98,Alman Kasabası Hahndorf,ACTIVITY
99,Almanac Barcelona,HOTEL
100,Almanya,COUNTRY
101,Altın Kule (Torre del Oro),ACTIVITY
102,Alışveriş,HIGHLIGHT
103,Amalfi,CITY
104,Amalfi Kasabası Gezisi,ACTIVITY
105,Amanhã (Yarının Müzesi),ACTIVITY
106,Amber Fort,ACTIVITY
107,Amber Kalesi ziyareti,ACTIVITY
108,Amboise,CITY
109,Amboise Şatosu,ACTIVITY
110,Amerika Birleşik Devletleri,COUNTRY
111,Amman,CITY
112,Amman,HIGHLIGHT
113,Amman şehir turu,ACTIVITY
114,Ananda ve Gubyaukgyi tapınakları ziyareti,ACTIVITY
115,Anantara Golden Triangle,HIGHLIGHT
116,"Anantara Golden Triangle, Chiang Rai",HOTEL
117,Anayasa Limanı - Hobart,ACTIVITY
118,Angkor,HIGHLIGHT
119,Angkor Wat,HIGHLIGHT
120,Antico Ristorante Paoli 1827,RESTAURANT
121,Antik Roma Amfitiyatrosu,ACTIVITY
122,Antinori nel Chianti Classico Şaraphanesi,ACTIVITY
123,Antoni Tàpies Müzesi ziyareti,ACTIVITY
124,Antropoloji Müzesi,ACTIVITY
125,Anzac-Atatürk Anıtı,ACTIVITY
126,Arashiyama Bamboo Grove ziyareti,ACTIVITY
127,Arashiyama bölgesi ziyareti,ACTIVITY
128,Arctic Restaurant,RESTAURANT
129,Arctic TreeHouse Hotel,HOTEL
130,Arethusa Çeşmesi,ACTIVITY
131,Arjantin,COUNTRY
132,Arjantin,HIGHLIGHT
133,Arjantin Gezisi,TRIP
134,Arkeoloji,HIGHLIGHT
135,Arles,CITY
136,Arles,HIGHLIGHT
137,Arles Gezisi,ACTIVITY
138,Arles Luma Müzesi ziyareti,ACTIVITY
139,Arles şehir gezisi,ACTIVITY
140,Arsenale ana sergi turu,ACTIVITY
141,Art House Project,ACTIVITY
142,Art Tour,ACTIVITY
143,Artemis Restaurant ve Şarapevi,RESTAURANT
144,Arusha,CITY
145,Arşimed Meydanı,ACTIVITY
146,Ashinoko Gölü tekne turu,ACTIVITY
147,Ashinoko Tekne Gezisi,ACTIVITY
148,Astrup Fearnley Museum of Modern Art,ACTIVITY
149,Aswan,CITY
150,Atelier de Cezanne ziyareti,ACTIVITY
