id,name,type,date_start,date_end,price_usd,semantic_text
1f145fbf-7d26-4624-88a2-6424f73169b6,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Trip,2025-01-04,2025-01-22,3800,"Brezilya – Arjantin – Şili turunda otel isimleri belgede belirtilmemiş. Aktiviteler arasında Rio’da Vista Chinesa ve Amanhã Müzesi, Iguazú Şelaleleri ve Macuco Safarisi, Buenos Aires’te Plaza de Mayo, Casa Rosada, San Telmo, La Boca, Modern Sanat Müzesi, Palermo Soho, Recoleta Mezarlığı ve Rojo Tango Gösterisi, Şili’de Cape Horn, Magdalena Adası, Plaza de Armas, Santiago Katedrali ve Ulusal Tarih Müzesi bulunuyor. Restoranlar: Satyricon, La Cabrera, Fervor."
Rio de Janeiro,Rio de Janeiro,City,,,,
Iguazu,Iguazu,City,,,,
Buenos Aires,Buenos Aires,City,,,,
Cap Horn,Cap Horn,City,,,,
Magdalena Adası,Magdalena Adası,City,,,,
Santiago,Santiago,City,,,,
Brasile,Brasile,Country,,,,
Argentina,Argentina,Country,,,,
Chile,Chile,Country,,,,
Vista Chinesa,Vista Chinesa,Activity,,,,
Amanhã (Yarının Müzesi),Amanhã (Yarının Müzesi),Activity,,,,
Iguazú Şelaleleri,Iguazú Şelaleleri,Activity,,,,
Iguazú Milli Parkı,Iguazú Milli Parkı,Activity,,,,
Macuco Safarisi,Macuco Safarisi,Activity,,,,
Plaza de Mayo,Plaza de Mayo,Activity,,,,
Casa Rosada,Casa Rosada,Activity,,,,
San Telmo,San Telmo,Activity,,,,
La Boca,La Boca,Activity,,,,
Buenos Aires Modern Sanat Müzesi,Buenos Aires Modern Sanat Müzesi,Activity,,,,
Plaza Dorrego,Plaza Dorrego,Activity,,,,
Palermo Soho,Palermo Soho,Activity,,,,
Recoleta Semti,Recoleta Semti,Activity,,,,
Recoleta Mezarlığı,Recoleta Mezarlığı,Activity,,,,
Rojo Tango Gösterisi,Rojo Tango Gösterisi,Activity,,,,
Plaza de Armas,Plaza de Armas,Activity,,,,
Santiago Katedrali,Santiago Katedrali,Activity,,,,
Belediye Binası,Belediye Binası,Activity,,,,
Merkez Postane,Merkez Postane,Activity,,,,
Ulusal Tarih Müzesi,Ulusal Tarih Müzesi,Activity,,,,
Satyricon Restaurant,Satyricon Restaurant,Restaurant,,,,
La Cabrera Restaurant,La Cabrera Restaurant,Restaurant,,,,
Fervor Restaurant,Fervor Restaurant,Restaurant,,,,
287f5664-1020-4b51-867f-19f531aa659d,İZLANDA TURU 18 – 24 MAYIS,Trip,2025-05-18,2025-05-24,1400,"İzlanda turunda Hali Country Hotel ve Fosshotel Glacier Lagoon otellerinde konaklama olacak. Aktiviteler arasında Blue Lagoon, Kerid Crater Lake, Skaftafell National Park, Ice Cave, Svartifoss Şelalesi, Fjallsárlón ve Jökulsárlón Glacier Lagoon ile Goðafoss Şelalesi yer alıyor."
Iceland,Iceland,City,,,,
Hali Country Hotel,Hali Country Hotel,Hotel,,,,
Fosshotel Glacier Lagoon,Fosshotel Glacier Lagoon,Hotel,,,,
Blue Lagoon,Blue Lagoon,Activity,,,,
Kerid Crater Lake,Kerid Crater Lake,Activity,,,,
Skaftafell National Park,Skaftafell National Park,Activity,,,,
Ice Cave,Ice Cave,Activity,,,,
Svartifoss Şelalesi,Svartifoss Şelalesi,Activity,,,,
Fjallsárlón Glacier Lagoon,Fjallsárlón Glacier Lagoon,Activity,,,,
Jökulsárlón Glacier Lagoon,Jökulsárlón Glacier Lagoon,Activity,,,,
Goðafoss Şelalesi,Goðafoss Şelalesi,Activity,,,,
c07af9af-70cf-40f3-a256-d3b7e9fbe40e,GÜNEY AFRİKA TURU 07 – 16 ARALIK,Trip,2025-12-07,2025-12-16,2000,"Güney Afrika turunda Babel Hotel’de konaklama olacak. Aktiviteler arasında Cape Town & Masa Dağı gezisi, Zeitz Çağdaş Sanatlar Müzesi, Cape Point & Ümit Burnu, Boulders penguen kolonisi, Stellenbosch ve Franschhoek şarap bağları, La Motte şarap tadımı, Matjiesfontein Köyü, Kimberley Diamond Mine & Big Hole, sabah ve akşam safari yer alıyor."
Cape Town,Cape Town,City,,,,
Stellenbosch,Stellenbosch,City,,,,
Franschhoek,Franschhoek,City,,,,
Kimberley,Kimberley,City,,,,
Africa meridionale,Africa meridionale,Country,,,,
Babel Hotel,Babel Hotel,Hotel,,,,
Cape Town & Masa Dağı Gezisi,Cape Town & Masa Dağı Gezisi,Activity,,,,
Zeitz Çağdaş Sanatlar Müzesi,Zeitz Çağdaş Sanatlar Müzesi,Activity,,,,
Cape Point & Ümit Burnu,Cape Point & Ümit Burnu,Activity,,,,
Boulders Penguen Kolonisi,Boulders Penguen Kolonisi,Activity,,,,
Stellenbosch Şarap Evleri,Stellenbosch Şarap Evleri,Activity,,,,
Franschhoek Şarap Bağları,Franschhoek Şarap Bağları,Activity,,,,
La Motte Şarap Tadımı,La Motte Şarap Tadımı,Activity,,,,
Matjiesfontein Köyü,Matjiesfontein Köyü,Activity,,,,
Kimberley Diamond Mine & Big Hole,Kimberley Diamond Mine & Big Hole,Activity,,,,
Sabah Safari,Sabah Safari,Activity,,,,
Akşam Safari,Akşam Safari,Activity,,,,
ae62605d-42c9-474a-b39a-b7487439b161,VENEDİK & MİLANO TURU 08 – 12,Trip,,,1000,"Venedik & Milano turunda Hotel Ai Cavalieri otelinde konaklama olacak. Restoranlar arasında Ristorante Da Ivo, Ristorante Acqua Pazza, Osteria Enoteca San Marco, Restaurant Terrazza Danieli, Da Giacomo, Il Salumaio di Montenapoleone ve Solferino Restaurant bulunuyor."
VENICE,VENICE,City,,,,
Milan,Milan,City,,,,
Italia,Italia,Country,,,,
Hotel Ai Cavalieri,Hotel Ai Cavalieri,Hotel,,,,
Ristorante Da Ivo,Ristorante Da Ivo,Restaurant,,,,
Ristorante Acqua Pazza,Ristorante Acqua Pazza,Restaurant,,,,
Osteria Enoteca San Marco,Osteria Enoteca San Marco,Restaurant,,,,
Restaurant Terrazza Danieli,Restaurant Terrazza Danieli,Restaurant,,,,
Da Giacomo,Da Giacomo,Restaurant,,,,
Il Salumaio di Montenapoleone,Il Salumaio di Montenapoleone,Restaurant,,,,
Solferino Restaurant,Solferino Restaurant,Restaurant,,,,
f4fe83b6-639f-4b84-b339-c7d941fe6276,MALDİVLER TURU 08 – 15 OCAK 2024,Trip,2024-01-08,2024-01-15,47800 / 47600 / 34900 USD (oda tipine göre),"Maldivler turunda Beach Villa with Pool, Water Villa with Pool ve Water Villa One Bedroom seçeneklerinde konaklama yapılabilecek. Restoran ve aktivite bilgisi belgede yer almıyor."
Maldive,Maldive,City,,,,
Beach Villa with Pool,Beach Villa with Pool,Hotel,,,,
Water Villa with Pool,Water Villa with Pool,Hotel,,,,
Water Villa One Bedroom,Water Villa One Bedroom,Hotel,,,,
55fc0970-c1fd-41aa-b45c-7c039a78f5f4,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Trip,2024-01-08,2024-01-17,2000,"Tanzanya & Zanzibar turunda Singita Lodge ve Singita Sasakawa Lodge otellerinde konaklama olacak. Aktiviteler arasında Serengeti Ulusal Parkı Safari, öğle safarisi, sabah ve akşam safarileri bulunuyor."
Arusha,Arusha,City,,,,
Plaine du Serengeti,Plaine du Serengeti,City,,,,
Zanzibar,Zanzibar,City,,,,
Tanzania,Tanzania,Country,,,,
Singita Lodge,Singita Lodge,Hotel,,,,
Singita Sasakawa Lodge,Singita Sasakawa Lodge,Hotel,,,,
Serengeti Ulusal Parkı Safari,Serengeti Ulusal Parkı Safari,Activity,,,,
Öğle Safarisi,Öğle Safarisi,Activity,,,,
Sabah ve Akşam Safarileri,Sabah ve Akşam Safarileri,Activity,,,,
33bda353-8437-45ae-9a29-3c8d8760d98f,BARCELONA TURU 09 – 11 KASIM,Trip,2025-11-09,2025-11-11,600,"Barcelona turunda otel ismi belirtilmemiş. Aktiviteler arasında Park Güell, La Sagrada Familia, Casa Milà, Plaza Catalunya ve Gotik Mahallesi bulunuyor. Restoranlar: La Pepita Tapas Bar, Gala Restoran, Barceloneta Restoran."
BARCELONA,BARCELONA,City,,,,
Espagne,Espagne,Country,,,,
Park Güell,Park Güell,Activity,,,,
La Sagrada Familia,La Sagrada Familia,Activity,,,,
Casa Milà,Casa Milà,Activity,,,,
Plaza Catalunya,Plaza Catalunya,Activity,,,,
Gotik Mahallesi,Gotik Mahallesi,Activity,,,,
La Pepita Tapas Bar,La Pepita Tapas Bar,Restaurant,,,,
Gala Restoran,Gala Restoran,Restaurant,,,,
Barceloneta Restoran,Barceloneta Restoran,Restaurant,,,,
da0c4939-1227-434a-bee9-04d4bd53f70e,BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Trip,2025-09-12,2025-09-15,800,"Bilbao & San Sebastian turunda Hotel Maria Cristina otelinde konaklama olacak. Aktiviteler arasında Biarritz, Saint Jean De Luz ve San Sebastian şehir gezileri ile Guggenheim Müzesi Gezisi bulunuyor. Restoranlar: Restaurante Ilura, Elkano Restaurant, Cafe Iruña."
Bilbao,Bilbao,City,,,,
San Sebastian,San Sebastian,City,,,,
Biarritz,Biarritz,City,,,,
Saint Jean De Luz,Saint Jean De Luz,City,,,,
France,France,Country,,,,
Hotel Maria Cristina,Hotel Maria Cristina,Hotel,,,,
Biarritz Gezisi,Biarritz Gezisi,Activity,,,,
Saint Jean De Luz Gezisi,Saint Jean De Luz Gezisi,Activity,,,,
San Sebastian Şehir Gezisi,San Sebastian Şehir Gezisi,Activity,,,,
Guggenheim Müzesi Gezisi,Guggenheim Müzesi Gezisi,Activity,,,,
Restaurante Ilura,Restaurante Ilura,Restaurant,,,,
Elkano Restaurant,Elkano Restaurant,Restaurant,,,,
Cafe Iruña,Cafe Iruña,Restaurant,,,,
a7efcb24-7b19-4e89-a779-bbb8566f9efd,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Trip,,,1000,"Avustralya & Yeni Zelanda turunda JW Marriott Singapore, Pullman Rotorua, Intercontinental Wellington, Peppers Blue Water Resort Lake Tekapo, The Rees Hotel, JW Marriott Gold Coast Resort & Spa ve Sydney Harbour Marriott otellerinde konaklama olacak. Aktiviteler arasında Auckland şehir gezisi, Te Puia Maori dansı, Weta Workshop, Queenstown panoramik turu, Seal Bay, Flinders Chase, Sydney Harbour tekne turu & havai fişek, Blue Mountains gezisi ve Sydney Opera Binası & Harbour Bridge yer alıyor."
Singapore,Singapore,City,,,,
Auckland,Auckland,City,,,,
Rotorua,Rotorua,City,,,,
Wellington,Wellington,City,,,,
Tekapo,Tekapo,City,,,,
Queenstown,Queenstown,City,,,,
Gold Coast,Gold Coast,City,,,,
Sidney,Sidney,City,,,,
Australia,Australia,Country,,,,
New Zealand,New Zealand,Country,,,,
JW Marriott Hotel Singapore South Beach,JW Marriott Hotel Singapore South Beach,Hotel,,,,
Pullman Rotorua,Pullman Rotorua,Hotel,,,,
Intercontinental Hotel Wellington,Intercontinental Hotel Wellington,Hotel,,,,
Peppers Blue Water Resort Lake Tekapo,Peppers Blue Water Resort Lake Tekapo,Hotel,,,,
The Rees Hotel & Luxury Apartments,The Rees Hotel & Luxury Apartments,Hotel,,,,
JW Marriott Gold Coast Resort & Spa,JW Marriott Gold Coast Resort & Spa,Hotel,,,,
Sydney Harbour Marriott Hotel at Circular Quay,Sydney Harbour Marriott Hotel at Circular Quay,Hotel,,,,
Auckland Şehir Gezisi,Auckland Şehir Gezisi,Activity,,,,
Te Puia Maori Dansı ve Gayzerler,Te Puia Maori Dansı ve Gayzerler,Activity,,,,
Weta Workshop,Weta Workshop,Activity,,,,
Queenstown Panoramik Gezisi,Queenstown Panoramik Gezisi,Activity,,,,
Seal Bay Conservation Park,Seal Bay Conservation Park,Activity,,,,
Flinders Chase National Park,Flinders Chase National Park,Activity,,,,
Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,Activity,,,,
Blue Mountains Gezisi,Blue Mountains Gezisi,Activity,,,,
Sydney Opera Binası & Harbour Bridge,Sydney Opera Binası & Harbour Bridge,Activity,,,,
829c9a30-ae64-44d9-bdf9-13ed38acada1,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Trip,,,1000,"Bali & Bangkok turunda Capella Bangkok Hotel ve Riverside Pool Villa’da konaklama olacak. Aktiviteler arasında Helikopter ile Volcanoes & Temples Turu bulunuyor. Restoranlar: Koral Restaurant (Bali), Restaurant POTONG (Bangkok)."
Bali,Bali,City,,,,
Bangkok,Bangkok,City,,,,
Endonezya,Endonezya,Country,,,,
Tayland,Tayland,Country,,,,
Capella Bangkok Hotel,Capella Bangkok Hotel,Hotel,,,,
Riverside Pool Villa,Riverside Pool Villa,Hotel,,,,
Volcanoes & Temples Turu (Helikopter),Volcanoes & Temples Turu (Helikopter),Activity,,,,
Koral Restaurant,Koral Restaurant,Restaurant,,,,
Restaurant POTONG,Restaurant POTONG,Restaurant,,,,
161b42cb-1fea-4aca-b25f-51baa1802774,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Trip,2025-08-18,2025-08-25,1600,"Danimarka & Norveç turunda Nimb Hotel, Bergen Børs Hotel ve Fretheim Hotel’de konaklama olacak. Aktiviteler arasında Designmuseum Danmark, Bergen Market Square & Balık Pazarı, Flåm Railway Museum, Vigeland Heykel Parkı, Oslo Opera Binası, Ulusal Müze, Munch Müzesi ve Astrup Fearnley Museum of Modern Art bulunuyor. Restoranlar: Fjellskål Seafood Restaurant, Restaurant Arven, Lofoten Fiskerestaurant, Bryggen Tracteursted, Izakaya Bar & Terrace."
Copenaghen,Copenaghen,City,,,,
Bergen,Bergen,City,,,,
Flåm,Flåm,City,,,,
Oslo,Oslo,City,,,,
Danemark (pays constitutif),Danemark (pays constitutif),Country,,,,
Norvegia,Norvegia,Country,,,,
Nimb Hotel,Nimb Hotel,Hotel,,,,
Bergen Børs Hotel,Bergen Børs Hotel,Hotel,,,,
Fretheim Hotel,Fretheim Hotel,Hotel,,,,
Designmuseum Danmark,Designmuseum Danmark,Activity,,,,
Bergen Market Square & Balık Pazarı,Bergen Market Square & Balık Pazarı,Activity,,,,
Flåm Railway Museum,Flåm Railway Museum,Activity,,,,
Vigeland Heykel Parkı,Vigeland Heykel Parkı,Activity,,,,
Oslo Opera Binası,Oslo Opera Binası,Activity,,,,
Ulusal Müze,Ulusal Müze,Activity,,,,
Munch Müzesi,Munch Müzesi,Activity,,,,
Astrup Fearnley Museum of Modern Art,Astrup Fearnley Museum of Modern Art,Activity,,,,
Fjellskål Seafood Restaurant,Fjellskål Seafood Restaurant,Restaurant,,,,
Restaurant Arven,Restaurant Arven,Restaurant,,,,
Lofoten Fiskerestaurant,Lofoten Fiskerestaurant,Restaurant,,,,
Bryggen Tracteursted,Bryggen Tracteursted,Restaurant,,,,
Izakaya Bar & Terrace,Izakaya Bar & Terrace,Restaurant,,,,
