start_id,end_id,type
1f145fbf-7d26-4624-88a2-6424f73169b6,Rio de Janeiro,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Iguazu,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Buenos Aires,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Cap Horn,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Magdalena Adası,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Santiago,VISITS
1f145fbf-7d26-4624-88a2-6424f73169b6,Brasile,IN_COUNTRY
1f145fbf-7d26-4624-88a2-6424f73169b6,Argentina,IN_COUNTRY
1f145fbf-7d26-4624-88a2-6424f73169b6,Chile,IN_COUNTRY
1f145fbf-7d26-4624-88a2-6424f73169b6,Vista Chinesa,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Amanhã (Yarının Müzesi),DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Iguazú Şelaleleri,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Iguazú Milli Parkı,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Macuco Safarisi,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Plaza de Mayo,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Casa Rosada,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,San Telmo,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,La Boca,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Buenos Aires Modern Sanat Müzesi,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Plaza Dorrego,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Palermo Soho,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Recoleta Semti,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Recoleta Mezarlığı,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Rojo Tango Gösterisi,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Cap Horn,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Magdalena Adası,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Plaza de Armas,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Santiago Katedrali,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Belediye Binası,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Merkez Postane,DOES
1f145fbf-7d26-4624-88a2-6424f73169b6,Ulusal Tarih Müzesi,DOES
