id:ID,name,season,date_start,date_end,:LABEL
1,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Kış,2025-01-04,2025-01-22,Trip
2,Rio de Janeiro,,,,City
3,Iguazu,,,,City
4,Buenos Aires,,,,City
5,Cape Horn,,,,City
6,Magdalena Adası,,,,City
7,Santiago,,,,City
8,Brezilya,,,,Country
9,Arjantin,,,,Country
10,Şili,,,,Country
11,Vista Chinesa,,,,Activity
12,Amanhã (Yarının Müzesi),,,,Activity
13,Iguazú Şelaleleri,,,,Activity
14,Iguazú Milli Parkı,,,,Activity
15,Macuco Safarisi,,,,Activity
16,Plaza de Mayo,,,,Activity
17,Casa Rosada,,,,Activity
18,San Telmo,,,,Activity
19,La Boca,,,,Activity
20,Buenos Aires Modern Sanat Müzesi,,,,Activity
21,Plaza Dorrego,,,,Activity
22,Palermo Soho,,,,Activity
23,Recoleta Semti,,,,Activity
24,Recoleta Mezarlığı,,,,Activity
25,Rojo Tango Gösterisi,,,,Activity
26,Cape Horn,,,,Activity
27,Magdalena Adası,,,,Activity
28,Plaza de Armas,,,,Activity
29,Santiago Katedrali,,,,Activity
30,Belediye Binası,,,,Activity
31,Merkez Postane,,,,Activity
32,Ulusal Tarih Müzesi,,,,Activity
33,Satyricon Restaurant,,,,Restaurant
34,La Cabrera Restaurant,,,,Restaurant
35,Fervor Restaurant,,,,Restaurant
36,İZLANDA TURU 18 – 24 MAYIS,İlkbahar,2025-05-18,2025-05-24,Trip
37,İzlanda,,,,City
38,İzlanda,,,,Country
39,Blue Lagoon,,,,Activity
40,Kerid Crater Lake,,,,Activity
41,Skaftafell National Park,,,,Activity
42,Ice Cave,,,,Activity
43,Svartifoss Şelalesi,,,,Activity
44,Fjallsárlón Glacier Lagoon,,,,Activity
45,Jökulsárlón Glacier Lagoon,,,,Activity
46,Goðafoss Şelalesi,,,,Activity
47,Hali Country Hotel,,,,Hotel
48,Fosshotel Glacier Lagoon,,,,Hotel
49,GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kış,2025-12-07,2025-12-16,Trip
50,Cape Town,,,,City
51,Stellenbosch,,,,City
52,Franschhoek,,,,City
53,Kimberley,,,,City
54,Güney Afrika,,,,Country
55,Cape Town & Masa Dağı Gezisi,,,,Activity
56,Zeitz Çağdaş Sanatlar Müzesi,,,,Activity
57,Cape Point & Ümit Burnu,,,,Activity
58,Boulders Penguen Kolonisi,,,,Activity
59,Stellenbosch Şarap Evleri,,,,Activity
60,Franschhoek Şarap Bağları,,,,Activity
61,La Motte Şarap Tadımı,,,,Activity
62,Matjiesfontein Köyü,,,,Activity
63,Kimberley Diamond Mine & Big Hole,,,,Activity
64,Sabah Safari,,,,Activity
65,Akşam Safari,,,,Activity
66,Babel Hotel,,,,Hotel
