id,name,label
1,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Trip
2,Brezilya,Country
3,Rio de Janeiro,City
4,Satyricon Restaurant,Restaurant
5,La Cabrera Restaurant,Restaurant
6,Fervor Restaurant,Restaurant
7,Vista Chinesa,Activity
8,Amanhã (Yarının Müzesi),Activity
9,Iguazú Şelaleleri,Activity
10,Iguazú Milli Parkı,Activity
11,Macuco Safarisi,Activity
12,Plaza de Mayo,Activity
13,Casa Rosada,Activity
14,San Telmo,Activity
15,La Boca,Activity
16,Buenos Aires Modern Sanat Müzesi,Activity
17,Plaza Dorrego,Activity
18,Palermo Soho,Activity
19,Recoleta Semti,Activity
20,Recoleta Mezarlığı,Activity
21,Rojo Tango Gösterisi,Activity
22,Cape Horn,Activity
23,Magdalena Adası,Activity
24,Plaza de Armas,Activity
25,Santiago Katedrali,Activity
26,Belediye Binası,Activity
27,Merkez Postane,Activity
28,Ulusal Tarih Müzesi,Activity
29,Iguazu,City
30,Buenos Aires,City
31,Cape Horn,City
32,Magdalena Adası,City
33,Santiago,City
34,Arjantin,Country
35,Şili,Country
36,İZLANDA TURU 18 – 24 MAYIS,Trip
37,İzlanda,Country
38,İzlanda,City
39,Hali Country Hotel,Hotel
40,Fosshotel Glacier Lagoon,Hotel
41,Blue Lagoon,Activity
42,Kerid Crater Lake,Activity
43,Skaftafell National Park,Activity
44,Ice Cave,Activity
45,Svartifoss Şelalesi,Activity
46,Fjallsárlón Glacier Lagoon,Activity
47,Jökulsárlón Glacier Lagoon,Activity
48,Goðafoss Şelalesi,Activity
49,GÜNEY AFRİKA TURU 07 – 16 ARALIK,Trip
50,Güney Afrika,Country
51,Cape Town,City
52,Babel Hotel,Hotel
53,Cape Town & Masa Dağı Gezisi,Activity
54,Zeitz Çağdaş Sanatlar Müzesi,Activity
55,Cape Point & Ümit Burnu,Activity
56,Boulders Penguen Kolonisi,Activity
57,Stellenbosch Şarap Evleri,Activity
58,Franschhoek Şarap Bağları,Activity
59,La Motte Şarap Tadımı,Activity
60,Matjiesfontein Köyü,Activity
61,Kimberley Diamond Mine & Big Hole,Activity
62,Sabah Safari,Activity
63,Akşam Safari,Activity
64,Stellenbosch,City
65,Franschhoek,City
66,Kimberley,City
67,VENEDİK & MİLANO TURU 08 – 12,Trip
68,İtalya,Country
69,Venedik,City
70,Hotel Ai Cavalieri,Hotel
71,Ristorante Da Ivo,Restaurant
72,Ristorante Acqua Pazza,Restaurant
73,Osteria Enoteca San Marco,Restaurant
74,Restaurant Terrazza Danieli,Restaurant
75,Da Giacomo,Restaurant
76,Il Salumaio di Montenapoleone,Restaurant
77,Solferino Restaurant,Restaurant
78,Milano,City
79,MALDİVLER TURU 08 – 15 OCAK 2024,Trip
80,Maldivler,Country
81,Maldivler,City
82,Beach Villa with Pool,Hotel
83,Water Villa with Pool,Hotel
84,Water Villa One Bedroom,Hotel
85,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Trip
86,Tanzanya,Country
87,Arusha,City
88,Singita Lodge,Hotel
89,Singita Sasakawa Lodge,Hotel
90,Serengeti Ulusal Parkı Safari,Activity
91,Öğle Safarisi,Activity
92,Sabah ve Akşam Safarileri,Activity
93,Serengeti,City
94,Zanzibar,City
95,BARCELONA TURU 09 – 11 KASIM,Trip
96,İspanya,Country
97,Barcelona,City
98,La Pepita Tapas Bar,Restaurant
99,Gala Restoran,Restaurant
100,Barceloneta Restoran,Restaurant
101,Park Güell,Activity
102,La Sagrada Familia,Activity
103,Casa Milà,Activity
104,Plaza Catalunya,Activity
105,Gotik Mahallesi,Activity
106,BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,Trip
107,Bilbao,City
108,Hotel Maria Cristina,Hotel
109,Restaurante Ilura,Restaurant
110,Elkano Restaurant,Restaurant
111,Cafe Iruña,Restaurant
112,Biarritz Gezisi,Activity
113,Saint Jean De Luz Gezisi,Activity
114,San Sebastian Şehir Gezisi,Activity
115,Guggenheim Müzesi Gezisi,Activity
116,San Sebastian,City
117,Biarritz,City
118,Saint Jean De Luz,City
119,Fransa,Country
120,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Trip
121,Avustralya,Country
122,Singapore,City
123,JW Marriott Hotel Singapore South Beach,Hotel
124,Pullman Rotorua,Hotel
125,Intercontinental Hotel Wellington,Hotel
126,Peppers Blue Water Resort Lake Tekapo,Hotel
127,The Rees Hotel & Luxury Apartments,Hotel
128,JW Marriott Gold Coast Resort & Spa,Hotel
129,Sydney Harbour Marriott Hotel at Circular Quay,Hotel
130,Auckland Şehir Gezisi,Activity
131,Te Puia Maori Dansı ve Gayzerler,Activity
132,Weta Workshop,Activity
133,Queenstown Panoramik Gezisi,Activity
134,Seal Bay Conservation Park,Activity
135,Flinders Chase National Park,Activity
136,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,Activity
137,Blue Mountains Gezisi,Activity
138,Sydney Opera Binası & Harbour Bridge,Activity
139,Auckland,City
140,Rotorua,City
141,Wellington,City
142,Tekapo,City
143,Queenstown,City
144,Gold Coast,City
145,Sydney,City
146,Yeni Zelanda,Country
147,Singapur,Country
148,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Trip
149,Endonezya,Country
150,Bali,City
151,Capella Bangkok Hotel,Hotel
152,Riverside Pool Villa,Hotel
153,Koral Restaurant,Restaurant
154,Restaurant POTONG,Restaurant
155,Volcanoes & Temples Turu (Helikopter),Activity
156,Bangkok,City
157,Tayland,Country
158,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Trip
159,Danimarka,Country
160,Kopenhag,City
161,Nimb Hotel,Hotel
162,Bergen Børs Hotel,Hotel
163,Fretheim Hotel,Hotel
164,Fjellskål Seafood Restaurant,Restaurant
165,Restaurant Arven,Restaurant
166,Lofoten Fiskerestaurant,Restaurant
167,Bryggen Tracteursted,Restaurant
168,Izakaya Bar & Terrace,Restaurant
169,Designmuseum Danmark,Activity
170,Bergen Market Square & Balık Pazarı,Activity
171,Flåm Railway Museum,Activity
172,Vigeland Heykel Parkı,Activity
173,Oslo Opera Binası,Activity
174,Ulusal Müze,Activity
175,Munch Müzesi,Activity
176,Astrup Fearnley Museum of Modern Art,Activity
177,Bergen,City
178,Flåm,City
179,Oslo,City
180,Norveç,Country
181,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Trip
182,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,Hotel
183,Babylonstoren Hotel,Hotel
184,Marataba Safari Lodge,Hotel
185,The Lookout Cafe,Restaurant
186,Mukuni Village Gezisi,Activity
187,Sunset Safari Cruise,Activity
188,David Livingstone Müzesi,Activity
189,Franschhoek Şarap Bağları ve Galeriler,Activity
190,Huguenot Anıt Müzesi,Activity
191,Franschhoek Motor Müzesi,Activity
192,Güney Afrika'nın İlk Parfüm Müzesi,Activity
193,Masa Dağı,Activity
194,Kirstenbosch Ulusal Botanik Bahçesi,Activity
195,Boulders Beach Penguen Kolonisi,Activity
196,Cape Town Şehir Gezisi,Activity
197,Two Oceans Aquarium,Activity
198,Camps Bay ve Clifton Beach,Activity
199,Zeitz Museum of Contemporary Art Africa,Activity
200,Güney Afrika Ulusal Müzesi (İziko),Activity
201,Planetarium,Activity
202,Cape Town Graffiti Street Art Turu,Activity
203,Livingstone,City
204,Zambiya,Country
205,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,Trip
206,Japonya,Country
207,Tokyo,City
208,Mitsui Garden Hotel Premier Jingu-Gaien,Hotel
209,Uno Hotel,Hotel
210,ACE Hotel Kyoto,Hotel
211,Meiji Tapınağı,Activity
212,Ota Memorial Museum of Art,Activity
213,Doğu Bahçeler,Activity
214,Shibuya Sky,Activity
215,Miyashita Park,Activity
216,Mori Art Museum,Activity
217,National Art Centre,Activity
218,Museum of Contemporary Art,Activity
219,Chichu Sanat Müzesi,Activity
220,Art House Project,Activity
221,Lee Ufan Müzesi,Activity
222,Benesse House,Activity
223,Teshima Sanat Müzesi,Activity
224,Les Archives du Coeur,Activity
225,Okayama,City
226,Kyoto,City
227,Naoshima,City
228,Teshima,City
229,LAPLAND TURU 19 – 24 OCAK,Trip
230,İsveç,Country
231,Jukkasjärvi,City
232,ICEHOTEL,Hotel
233,Kaamos Hotel,Hotel
234,Treehotel,Hotel
235,Gece Safarisi,Activity
236,Kar Mobili Safarisi,Activity
237,Harads,City
238,MISIR TURU 20 – 25 NİSAN 2024,Trip
239,Mısır,Country
240,Kahire,City
241,Marriott Mena House Hotel,Hotel
242,Movenpick Sunray Nile Cruise,Hotel
243,Giza Piramitleri,Activity
244,Büyük Giza Sfenksi,Activity
245,Mısır Müzesi,Activity
246,Khan El Khalili Çarşısı,Activity
247,High Dam,Activity
248,Philae Tapınağı,Activity
249,Kom Ombo Tapınağı,Activity
250,Edfu Tapınağı,Activity
251,Luxor East Bank Gezisi,Activity
252,Karnak Tapınağı,Activity
253,Luxor Tapınağı,Activity
254,Nil Nehri Sıcak Hava Balonu,Activity
255,Aswan,City
256,Luxor,City
257,AMALFI TURU 20 – 23 HAZİRAN,Trip
258,Amalfi,City
259,Villa Piedimonte,Hotel
260,Hotel Rufolo,Hotel
261,Ravello - Villa Cimbrone Bahçesi,Activity
262,Ravello - Villa Rufolo,Activity
263,Pompei Şehri Ziyareti,Activity
264,Napoli Şehri Gezisi,Activity
265,Duomo di Napoli,Activity
266,Il Pio Monte della Misericordia,Activity
267,Palazzo Reale,Activity
268,Castel dell’Ovo,Activity
269,Amalfi Kasabası Gezisi,Activity
270,Cattedrale di Sant’Andrea,Activity
271,Piazza Duomo,Activity
272,Piazza dei Dogi,Activity
273,Piazza dello Spirito Santo,Activity
274,Sorrento Gezisi,Activity
275,Piazza Tasso,Activity
276,Basilica di Sant’Antonino,Activity
277,Sedile Dominova,Activity
278,Sorrento Peninsula Arkeoloji Müzesi,Activity
279,Bottega Della Tarsia Lignea Müzesi,Activity
280,Ravello,City
281,Pompei,City
282,Napoli,City
283,Sorrento,City
284,LOIRE TURU 20 – 23 NİSAN,Trip
285,Loire,City
286,Avarum Restaurant,Restaurant
287,Restaurante Amour Blanc,Restaurant
288,Cheverny Şatosu,Activity
289,Villandry Şatosu,Activity
290,Amboise Şatosu,Activity
291,Château du Clos Lucé,Activity
292,Château de Chenonceau,Activity
293,Château de Blois,Activity
294,Château de Chambord,Activity
295,Loire Vadisi Balon Turu,Activity
296,Tours Şehri Gezisi,Activity
297,Tours,City
298,Amboise,City
299,Blois,City
300,BRUGGE & LOIRE TURU 20 – 23 NİSAN,Trip
301,Belçika,Country
302,Brugge,City
303,Hotel De Orangerie,Hotel
304,Hotel Van Cleef,Hotel
305,Hotel Heritage Relais Chateau,Hotel
306,Hotel Dukes' Palace,Hotel
307,Brugge Gezisi,Activity
308,Gent Gezisi,Activity
309,Clos de Lucé,Activity
310,Loire Vadisi Şarap Bağları,Activity
311,Gent,City
312,AMALFI TURU 20 – 24 HAZİRAN,Trip
313,Tam Gün Tekne Gezisi,Activity
314,SALZBURG TURU 20 – 25 ARALIK,Trip
315,Avusturya,Country
316,Salzburg,City
317,Radisson Blu Hotel Altstadt,Hotel
318,Hotel Goldener Hirsch,Hotel
319,Hotel Bristol,Hotel
320,Cafe Sacher Salzburg,Restaurant
321,Restaurant Blaue Gans Salzburg Gasthaus,Restaurant
322,Mirabel Sarayı ve Bahçesi,Activity
323,Mozart’ın Evi,Activity
324,Residenzplatz & DomQuartier,Activity
325,Noel Pazarları,Activity
326,Hallstatt Gezisi,Activity
327,Salzberg Dağı & Tuz Madeni Ziyareti,Activity
328,Atlı Kızak Turu (St Wolfgang),Activity
329,Salzburg Kalesi,Activity
330,Adolf Hitler’in Kartal Yuvası,Activity
331,Salzbergwerk Berchtesgaden,Activity
332,Grassl Likör Fabrikası,Activity
333,Hallstatt,City
334,St Wolfgang,City
335,Berchtesgaden,City
336,Almanya,Country
337,BELGRAD TURU 21 – 23 EYLÜL,Trip
338,Sırbistan,Country
339,Belgrad,City
340,Metropol Palace Hotel,Hotel
341,Square Nine Hotel,Hotel
342,Kalemegdan Restaurant,Restaurant
343,Belgrad Şehir Gezisi,Activity
344,Aziz Sava Kilisesi,Activity
345,Kalemegdan,Activity
346,Sokullu Mehmet Paşa Çeşmesi,Activity
347,Damat Ali Paşa Türbesi,Activity
348,Fikirbayır,Activity
349,Stambol Kapısı,Activity
350,Tuna & Sava Nehirlerinin Birleşim Noktası,Activity
351,Museum of Yugoslav History,Activity
352,Royal Compound,Activity
353,Nikola Tesla Müzesi,Activity
354,Karlofca Gezisi,Activity
355,Novi Sad Gezisi,Activity
356,Tuna Nehri Tekne Gezisi,Activity
357,Karlofca,City
358,Novi Sad,City
359,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,Trip
360,Türkiye,Country
361,İstanbul,City
362,Il Cortile Ristorante Pizzeria,Restaurant
363,Pandeli Restaurant,Restaurant
364,Belisirma Nehir Kenarı Restoran,Restaurant
365,Geleneksel Türk Restoranı (Efes),Restaurant
366,Topkapı Sarayı,Activity
367,Ayasofya,Activity
368,Yerebatan Sarnıcı,Activity
369,Boğaz Turu,Activity
370,Karaköy,Activity
371,Balon Turu,Activity
372,Soğanlı Vadisi,Activity
373,Keşlik Manastırı,Activity
374,Taşkınpaşa Medresesi,Activity
375,Selime Köyü,Activity
376,Agzikarahan Kervansarayı,Activity
377,Ihlara Vadisi,Activity
378,Göreme Açık Hava Müzesi,Activity
379,Uçhisar,Activity
380,Kaymaklı Yeraltı Şehri,Activity
381,Kızıl Vadi,Activity
382,Efes Antik Kenti,Activity
383,Hadrian Tapınağı,Activity
384,Odeon,Activity
385,Traian Çeşmesi,Activity
386,Şirince Köyü,Activity
387,Kapadokya,City
388,Kuşadası,City
389,İzmir,City
390,Şirince,City
391,Efes,City
392,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,Trip
393,İskoçya,Country
394,Edinburgh,City
395,Fonab Castle Hotel,Hotel
396,The Craigellachie Hotel,Hotel
397,Nevis Bank Inn,Hotel
398,Seasgair Hotel,Hotel
399,Nevis Bank Inn and Browns Restaurant,Restaurant
400,Rocpool Restaurant,Restaurant
401,Blair Castle,Activity
402,Ballindalloch Castle & Gardens,Activity
403,Camera Obscura & World of Illusions,Activity
404,Loch Ness,Activity
405,Inverness Kalesi,Activity
406,St. Andrews Katedrali,Activity
407,Inverness Müzesi ve Sanat Galerisi,Activity
408,Strathisla Distillery,Activity
409,Pitlochry,City
410,Fort William,City
411,Inverness,City
412,TAYLAND TURU 5 – 18 ŞUBAT,Trip
413,The Surin,Hotel
414,Beach Restaurant (The Surin),Restaurant
415,Potong Restaurant,Restaurant
416,Clara Restaurant,Restaurant
417,Kalido,Restaurant
418,Carpe Diem Beach Club,Restaurant
419,Terrace Rim Naam,Restaurant
420,Tapınaklar ve Şehir Gezisi,Activity
421,Bo Sang Köyü,Activity
422,Wat Chedi Luangis,Activity
423,Wat Suan Dok Tapınağı,Activity
424,Wat Phra That Doi Suthep,Activity
425,Wat Rong Khun,Activity
426,Chiang Rai Gezisi,Activity
427,Golden Triangle Gezisi,Activity
428,Mekong Nehri Tekne Gezisi,Activity
429,Bangkok Şehir Gezisi,Activity
430,Büyük Saray,Activity
431,Wat Phra Kaew,Activity
432,Wat Pho Tapınağı,Activity
433,Wat Ratchabophit,Activity
434,Bangkok Kanalları Gezisi,Activity
435,Chatuchak Weekend Market,Activity
436,Chiang Mai,City
437,Chiang Rai,City
438,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE),Trip
439,Mitsui Garden Hotel,Hotel
