id:ID,name,season,date_start,date_end,:LABEL,id,label,price_usd,value
1.0,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Kış,2025-01-04,2025-01-22,Trip,,,,
2.0,Rio de Janeiro,,,,City,,,,
3.0,Iguazu,,,,City,,,,
4.0,Buenos Aires,,,,City,,,,
5.0,Cape Horn,,,,City,,,,
6.0,Magdalena Adası,,,,City,,,,
7.0,Santiago,,,,City,,,,
8.0,Brezilya,,,,Country,,,,
9.0,Arjantin,,,,Country,,,,
10.0,Şili,,,,Country,,,,
11.0,Vista Chinesa,,,,Activity,,,,
12.0,Amanhã (Yarının Müzesi),,,,Activity,,,,
13.0,Iguazú Şelaleleri,,,,Activity,,,,
14.0,Iguazú Milli Parkı,,,,Activity,,,,
15.0,Macuco Safarisi,,,,Activity,,,,
16.0,Plaza de Mayo,,,,Activity,,,,
17.0,Casa Rosada,,,,Activity,,,,
18.0,San Telmo,,,,Activity,,,,
19.0,La Boca,,,,Activity,,,,
20.0,Buenos Aires Modern Sanat Müzesi,,,,Activity,,,,
21.0,Plaza Dorrego,,,,Activity,,,,
22.0,Palermo Soho,,,,Activity,,,,
23.0,Recoleta Semti,,,,Activity,,,,
24.0,Recoleta Mezarlığı,,,,Activity,,,,
25.0,Rojo Tango Gösterisi,,,,Activity,,,,
26.0,Cape Horn,,,,Activity,,,,
27.0,Magdalena Adası,,,,Activity,,,,
28.0,Plaza de Armas,,,,Activity,,,,
29.0,Santiago Katedrali,,,,Activity,,,,
30.0,Belediye Binası,,,,Activity,,,,
31.0,Merkez Postane,,,,Activity,,,,
32.0,Ulusal Tarih Müzesi,,,,Activity,,,,
33.0,Satyricon Restaurant,,,,Restaurant,,,,
34.0,La Cabrera Restaurant,,,,Restaurant,,,,
35.0,Fervor Restaurant,,,,Restaurant,,,,
36.0,İZLANDA TURU 18 – 24 MAYIS,İlkbahar,2025-05-18,2025-05-24,Trip,,,,
37.0,İzlanda,,,,City,,,,
38.0,İzlanda,,,,Country,,,,
39.0,Blue Lagoon,,,,Activity,,,,
40.0,Kerid Crater Lake,,,,Activity,,,,
41.0,Skaftafell National Park,,,,Activity,,,,
42.0,Ice Cave,,,,Activity,,,,
43.0,Svartifoss Şelalesi,,,,Activity,,,,
44.0,Fjallsárlón Glacier Lagoon,,,,Activity,,,,
45.0,Jökulsárlón Glacier Lagoon,,,,Activity,,,,
46.0,Goðafoss Şelalesi,,,,Activity,,,,
47.0,Hali Country Hotel,,,,Hotel,,,,
48.0,Fosshotel Glacier Lagoon,,,,Hotel,,,,
49.0,GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kış,2025-12-07,2025-12-16,Trip,,,,
50.0,Cape Town,,,,City,,,,
51.0,Stellenbosch,,,,City,,,,
52.0,Franschhoek,,,,City,,,,
53.0,Kimberley,,,,City,,,,
54.0,Güney Afrika,,,,Country,,,,
55.0,Cape Town & Masa Dağı Gezisi,,,,Activity,,,,
56.0,Zeitz Çağdaş Sanatlar Müzesi,,,,Activity,,,,
57.0,Cape Point & Ümit Burnu,,,,Activity,,,,
58.0,Boulders Penguen Kolonisi,,,,Activity,,,,
59.0,Stellenbosch Şarap Evleri,,,,Activity,,,,
60.0,Franschhoek Şarap Bağları,,,,Activity,,,,
61.0,La Motte Şarap Tadımı,,,,Activity,,,,
62.0,Matjiesfontein Köyü,,,,Activity,,,,
63.0,Kimberley Diamond Mine & Big Hole,,,,Activity,,,,
64.0,Sabah Safari,,,,Activity,,,,
65.0,Akşam Safari,,,,Activity,,,,
66.0,Babel Hotel,,,,Hotel,,,,
67.0,VENEDİK & MİLANO TURU 08 – 12,,,,Trip,,,,
68.0,Venedik,,,,City,,,,
69.0,Milano,,,,City,,,,
70.0,İtalya,,,,Country,,,,
71.0,Ristorante Da Ivo,,,,Restaurant,,,,
72.0,Ristorante Acqua Pazza,,,,Restaurant,,,,
73.0,Osteria Enoteca San Marco,,,,Restaurant,,,,
74.0,Restaurant Terrazza Danieli,,,,Restaurant,,,,
75.0,Da Giacomo,,,,Restaurant,,,,
76.0,Il Salumaio di Montenapoleone,,,,Restaurant,,,,
77.0,Solferino Restaurant,,,,Restaurant,,,,
78.0,Hotel Ai Cavalieri,,,,Hotel,,,,
79.0,MALDİVLER TURU 08 – 15 OCAK 2024,Kış,2024-01-08,2024-01-15,Trip,,,,
80.0,Maldivler,,,,City,,,,
81.0,Maldivler,,,,Country,,,,
82.0,Beach Villa with Pool,,,,Hotel,,,,
83.0,Water Villa with Pool,,,,Hotel,,,,
84.0,Water Villa One Bedroom,,,,Hotel,,,,
85.0,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Kış,2024-01-08,2024-01-17,Trip,,,,
86.0,Arusha,,,,City,,,,
87.0,Serengeti,,,,City,,,,
88.0,Zanzibar,,,,City,,,,
89.0,Tanzanya,,,,Country,,,,
90.0,Serengeti Ulusal Parkı Safari,,,,Activity,,,,
91.0,Öğle Safarisi,,,,Activity,,,,
92.0,Sabah ve Akşam Safarileri,,,,Activity,,,,
