id,label,name
1,Trip,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK
2,Country,Brezilya
3,City,Rio de Janeiro
4,Restaurant,Satyricon Restaurant
5,Restaurant,La Cabrera Restaurant
6,Restaurant,Fervor Restaurant
7,Activity,Vista Chinesa
8,Activity,Amanhã (Yarının Müzesi)
9,Activity,Iguazú Şelaleleri
10,Activity,Iguazú Milli Parkı
11,Activity,Macuco Safarisi
12,Activity,Plaza de Mayo
13,Activity,Casa Rosada
14,Activity,San Telmo
15,Activity,La Boca
16,Activity,Buenos Aires Modern Sanat Müzesi
17,Activity,Plaza Dorrego
18,Activity,Palermo Soho
19,Activity,Recoleta Semti
20,Activity,Recoleta Mezarlığı
21,Activity,Rojo Tango Gösterisi
22,Activity,Cape Horn
23,Activity,Magdalena Adası
24,Activity,Plaza de Armas
25,Activity,Santiago Katedrali
26,Activity,Belediye Binası
27,Activity,Merkez Postane
28,Activity,Ulusal Tarih Müzesi
29,City,Iguazu
30,City,Buenos Aires
31,City,Cape Horn
32,City,Magdalena Adası
33,City,Santiago
34,Country,Arjantin
35,Country,Şili
36,Trip,İZLANDA TURU 18 – 24 MAYIS
37,Country,İzlanda
38,City,İzlanda
39,Hotel,Hali Country Hotel
40,Hotel,Fosshotel Glacier Lagoon
41,Activity,Blue Lagoon
42,Activity,Kerid Crater Lake
43,Activity,Skaftafell National Park
44,Activity,Ice Cave
45,Activity,Svartifoss Şelalesi
46,Activity,Fjallsárlón Glacier Lagoon
47,Activity,Jökulsárlón Glacier Lagoon
48,Activity,Goðafoss Şelalesi
49,Trip,GÜNEY AFRİKA TURU 07 – 16 ARALIK
50,Country,Güney Afrika
51,City,Cape Town
52,Hotel,Babel Hotel
53,Activity,Cape Town & Masa Dağı Gezisi
54,Activity,Zeitz Çağdaş Sanatlar Müzesi
55,Activity,Cape Point & Ümit Burnu
56,Activity,Boulders Penguen Kolonisi
57,Activity,Stellenbosch Şarap Evleri
58,Activity,Franschhoek Şarap Bağları
59,Activity,La Motte Şarap Tadımı
60,Activity,Matjiesfontein Köyü
61,Activity,Kimberley Diamond Mine & Big Hole
62,Activity,Sabah Safari
63,Activity,Akşam Safari
64,City,Stellenbosch
65,City,Franschhoek
66,City,Kimberley
67,Trip,VENEDİK & MİLANO TURU 08 – 12
