id,label,name,boost
trip:ea684dba,Trip,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,1.0
city:d7b1c966,City,Rio de Janeiro,1.0
city:1bdc156d,City,Iguazu,1.0
city:0c455ad1,City,Buenos Aires,1.0
city:54039364,City,Cape Horn,1.0
city:6c07625e,City,Magdalena Adası,1.0
city:a6f30815,City,Santiago,1.0
country:fa60284a,Country,Brezilya,1.0
country:9431e461,Country,Arjantin,1.0
country:c8a985f6,Country,Şili,1.0
activity:a8b434ee,Activity,Vista Chinesa,1.0
activity:14c17cf9,Activity,Amanhã (Yarının Müzesi),1.0
activity:eb2174d8,Activity,Iguazú Şelaleleri,1.0
activity:57c06067,Activity,Iguazú Milli Parkı,1.0
activity:72ea1919,Activity,Macuco Safarisi,1.0
activity:5540f6fe,Activity,Plaza de Mayo,1.0
activity:813d023a,Activity,Casa Rosada,1.0
activity:f2cacced,Activity,San Telmo,1.0
activity:aaff0ac6,Activity,La Boca,1.0
activity:b3ed6a8c,Activity,Buenos Aires Modern Sanat Müzesi,1.0
activity:41e7148b,Activity,Plaza Dorrego,1.0
activity:d7cc1cee,Activity,Palermo Soho,1.0
activity:8b540166,Activity,Recoleta Semti,1.0
activity:62dd675d,Activity,Recoleta Mezarlığı,1.0
activity:abae52e6,Activity,Rojo Tango Gösterisi,1.0
activity:54039364,Activity,Cape Horn,1.0
activity:6c07625e,Activity,Magdalena Adası,1.0
activity:2b3fee54,Activity,Plaza de Armas,1.0
activity:13e5dcbe,Activity,Santiago Katedrali,1.0
activity:0c988670,Activity,Belediye Binası,1.0
activity:288bc775,Activity,Merkez Postane,1.0
activity:ce0db610,Activity,Ulusal Tarih Müzesi,1.0
restaurant:814944f2,Restaurant,Satyricon Restaurant,1.0
restaurant:3b4b20ac,Restaurant,La Cabrera Restaurant,1.0
restaurant:18331a56,Restaurant,Fervor Restaurant,1.0
trip:0daeab7e,Trip,İZLANDA TURU 18 – 24 MAYIS,1.0
city:a2c4140a,City,İzlanda,1.0
country:a2c4140a,Country,İzlanda,1.0
hotel:768d24bf,Hotel,Hali Country Hotel,1.0
hotel:0d448ea3,Hotel,Fosshotel Glacier Lagoon,1.0
activity:b5b044de,Activity,Blue Lagoon,1.0
activity:7818c4f5,Activity,Kerid Crater Lake,1.0
activity:67a5d979,Activity,Skaftafell National Park,1.0
activity:184df9ef,Activity,Ice Cave,1.0
activity:d82de52c,Activity,Svartifoss Şelalesi,1.0
activity:2c76611d,Activity,Fjallsárlón Glacier Lagoon,1.0
activity:63afd8ba,Activity,Jökulsárlón Glacier Lagoon,1.0
activity:0b086ab5,Activity,Goðafoss Şelalesi,1.0
trip:f3699f7b,Trip,GÜNEY AFRİKA TURU 07 – 16 ARALIK,1.0
city:78ac9a03,City,Cape Town,1.0
city:7fb3f60c,City,Stellenbosch,1.0
city:705776f1,City,Franschhoek,1.0
city:6d3ff39c,City,Kimberley,1.0
country:dc300813,Country,Güney Afrika,1.0
hotel:e0e04ef2,Hotel,Babel Hotel,1.0
activity:29ef753a,Activity,Cape Town & Masa Dağı Gezisi,1.0
activity:98b392b2,Activity,Zeitz Çağdaş Sanatlar Müzesi,1.0
activity:ee7e5c33,Activity,Cape Point & Ümit Burnu,1.0
activity:ec201b94,Activity,Boulders Penguen Kolonisi,1.0
activity:166c4f61,Activity,Stellenbosch Şarap Evleri,1.0
activity:afcc9fd4,Activity,Franschhoek Şarap Bağları,1.0
activity:3787334c,Activity,La Motte Şarap Tadımı,1.0
activity:901489e5,Activity,Matjiesfontein Köyü,1.0
activity:86d5d292,Activity,Kimberley Diamond Mine & Big Hole,1.0
activity:31175c14,Activity,Sabah Safari,1.0
activity:4cdbed35,Activity,Akşam Safari,1.0
trip:5a5360b7,Trip,VENEDİK & MİLANO TURU 08 – 12,1.0
city:fbf968d5,City,Venedik,1.0
city:82a8f10c,City,Milano,1.0
country:51b99634,Country,İtalya,1.0
hotel:9cd92f6a,Hotel,Hotel Ai Cavalieri,1.0
restaurant:5e26c087,Restaurant,Ristorante Da Ivo,1.0
restaurant:87218ca0,Restaurant,Ristorante Acqua Pazza,1.0
restaurant:9c97838a,Restaurant,Osteria Enoteca San Marco,1.0
restaurant:decdc5ce,Restaurant,Restaurant Terrazza Danieli,1.0
restaurant:b6c05d57,Restaurant,Da Giacomo,1.0
restaurant:ef8ba1c0,Restaurant,Il Salumaio di Montenapoleone,1.0
restaurant:6de19d23,Restaurant,Solferino Restaurant,1.0
trip:cbe87c1e,Trip,MALDİVLER TURU 08 – 15 OCAK 2024,1.0
city:0258f687,City,Maldivler,1.0
country:0258f687,Country,Maldivler,1.0
hotel:5f0d0789,Hotel,Beach Villa with Pool,1.0
hotel:190db616,Hotel,Water Villa with Pool,1.0
hotel:238fdb9a,Hotel,Water Villa One Bedroom,1.0
trip:4dc4a8b8,Trip,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,1.0
city:30067789,City,Arusha,1.0
city:5e61b501,City,Serengeti,1.0
city:af942806,City,Zanzibar,1.0
country:d20eefa8,Country,Tanzanya,1.0
hotel:2de89629,Hotel,Singita Lodge,1.0
hotel:ec925b7a,Hotel,Singita Sasakawa Lodge,1.0
activity:7426549a,Activity,Serengeti Ulusal Parkı Safari,1.0
activity:71750007,Activity,Öğle Safarisi,1.0
activity:e9f33b77,Activity,Sabah ve Akşam Safarileri,1.0
