name,label
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,TRIP
Brezilya,COUNTRY
Arjantin,COUNTRY
Şili,COUNTRY
Rio de Janeiro,CITY
Iguazu,CITY
Buenos Aires,CITY
Cape Horn,CITY
Magdalena Adası,CITY
Santiago,CITY
Kış,SEASON
2025-01-04,DATE_START
2025-01-22,DATE_END
Satyricon Restaurant,RESTAURANT
La Cabrera Restaurant,RESTAURANT
Fervor Restaurant,RESTAURANT
İZLANDA TURU 18 – 24 MAYIS,TRIP
İzlanda,COUNTRY
İzlanda,CITY
İlkbahar,SEASON
2025-05-18,DATE_START
2025-05-24,DATE_END
Hali Country Hotel,HOTEL
Fosshotel Glacier Lagoon,HOTEL
GÜNEY AFRİKA TURU 07 – 16 ARALIK,TRIP
Güney Afrika,COUNTRY
Cape Town,CITY
Stellenbosch,CITY
Franschhoek,CITY
Kimberley,CITY
2025-12-07,DATE_START
2025-12-16,DATE_END
Babel Hotel,HOTEL
VENEDİK & MİLANO TURU 08 – 12,TRIP
İtalya,COUNTRY
Venedik,CITY
Milano,CITY
Hotel Ai Cavalieri,HOTEL
Ristorante Da Ivo,RESTAURANT
Ristorante Acqua Pazza,RESTAURANT
Osteria Enoteca San Marco,RESTAURANT
Restaurant Terrazza Danieli,RESTAURANT
Da Giacomo,RESTAURANT
Il Salumaio di Montenapoleone,RESTAURANT
Solferino Restaurant,RESTAURANT
MALDİVLER TURU 08 – 15 OCAK 2024,TRIP
Maldivler,COUNTRY
Maldivler,CITY
2024-01-08,DATE_START
2024-01-15,DATE_END
Beach Villa with Pool,HOTEL
Water Villa with Pool,HOTEL
Water Villa One Bedroom,HOTEL
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,TRIP
Tanzanya,COUNTRY
Arusha,CITY
Serengeti,CITY
Zanzibar,CITY
2024-01-17,DATE_END
Singita Lodge,HOTEL
Singita Sasakawa Lodge,HOTEL
BARCELONA TURU 09 – 11 KASIM,TRIP
İspanya,COUNTRY
Barcelona,CITY
Sonbahar,SEASON
2025-11-09,DATE_START
2025-11-11,DATE_END
La Pepita Tapas Bar,RESTAURANT
Gala Restoran,RESTAURANT
Barceloneta Restoran,RESTAURANT
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,TRIP
Fransa,COUNTRY
Bilbao,CITY
San Sebastian,CITY
Biarritz,CITY
Saint Jean De Luz,CITY
2025-09-12,DATE_START
2025-09-15,DATE_END
Hotel Maria Cristina,HOTEL
Restaurante Ilura,RESTAURANT
Elkano Restaurant,RESTAURANT
Cafe Iruña,RESTAURANT
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,TRIP
Avustralya,COUNTRY
Yeni Zelanda,COUNTRY
Singapur,COUNTRY
Singapore,CITY
Auckland,CITY
Rotorua,CITY
Wellington,CITY
Tekapo,CITY
Queenstown,CITY
Gold Coast,CITY
Sydney,CITY
JW Marriott Hotel Singapore South Beach,HOTEL
Pullman Rotorua,HOTEL
Intercontinental Hotel Wellington,HOTEL
Peppers Blue Water Resort Lake Tekapo,HOTEL
The Rees Hotel & Luxury Apartments,HOTEL
JW Marriott Gold Coast Resort & Spa,HOTEL
Sydney Harbour Marriott Hotel at Circular Quay,HOTEL
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,TRIP
Endonezya,COUNTRY
Tayland,COUNTRY
Bali,CITY
Bangkok,CITY
Capella Bangkok Hotel,HOTEL
Riverside Pool Villa,HOTEL
Koral Restaurant,RESTAURANT
Restaurant POTONG,RESTAURANT
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,TRIP
Danimarka,COUNTRY
Norveç,COUNTRY
Kopenhag,CITY
Bergen,CITY
Flåm,CITY
Oslo,CITY
Yaz,SEASON
2025-08-18,DATE_START
2025-08-25,DATE_END
Nimb Hotel,HOTEL
Bergen Børs Hotel,HOTEL
Fretheim Hotel,HOTEL
Fjellskål Seafood Restaurant,RESTAURANT
Restaurant Arven,RESTAURANT
Lofoten Fiskerestaurant,RESTAURANT
Bryggen Tracteursted,RESTAURANT
Izakaya Bar & Terrace,RESTAURANT
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,TRIP
Zambiya,COUNTRY
Livingstone,CITY
2026-01-25,DATE_START
2026-01-03,DATE_END
Royal Livingstone Victoria Falls Zambia Hotel by Anantara,HOTEL
Babylonstoren Hotel,HOTEL
Marataba Safari Lodge,HOTEL
The Lookout Cafe,RESTAURANT
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,TRIP
Japonya,COUNTRY
Tokyo,CITY
Okayama,CITY
Kyoto,CITY
Naoshima,CITY
Teshima,CITY
Mitsui Garden Hotel Premier Jingu-Gaien,HOTEL
