start,end,type
1,2,HAS_CITY
1,3,HAS_CITY
1,4,HAS_CITY
1,5,HAS_CITY
1,6,HAS_CITY
1,7,HAS_CITY
1,8,HAS_COUNTRY
1,9,HAS_COUNTRY
1,10,HAS_COUNTRY
1,11,HAS_ACTIVITY
1,12,HAS_ACTIVITY
1,13,HAS_ACTIVITY
1,14,HAS_ACTIVITY
1,15,HAS_ACTIVITY
1,16,HAS_ACTIVITY
1,17,HAS_ACTIVITY
1,18,HAS_ACTIVITY
1,19,HAS_ACTIVITY
1,20,HAS_ACTIVITY
1,21,HAS_ACTIVITY
1,22,HAS_ACTIVITY
1,23,HAS_ACTIVITY
1,24,HAS_ACTIVITY
1,25,HAS_ACTIVITY
1,26,HAS_ACTIVITY
1,27,HAS_ACTIVITY
1,28,HAS_ACTIVITY
1,29,HAS_ACTIVITY
1,30,HAS_ACTIVITY
1,31,HAS_ACTIVITY
1,32,HAS_ACTIVITY
1,33,HAS_RESTAURANT
1,34,HAS_RESTAURANT
1,35,HAS_RESTAURANT
36,37,HAS_CITY
36,38,HAS_COUNTRY
36,39,HAS_ACTIVITY
36,40,HAS_ACTIVITY
36,41,HAS_ACTIVITY
36,42,HAS_ACTIVITY
36,43,HAS_ACTIVITY
36,44,HAS_ACTIVITY
36,45,HAS_ACTIVITY
36,46,HAS_ACTIVITY
36,47,HAS_HOTEL
36,48,HAS_HOTEL
49,50,HAS_CITY
49,51,HAS_CITY
49,52,HAS_CITY
49,53,HAS_CITY
49,54,HAS_COUNTRY
49,55,HAS_ACTIVITY
49,56,HAS_ACTIVITY
49,57,HAS_ACTIVITY
49,58,HAS_ACTIVITY
49,59,HAS_ACTIVITY
49,60,HAS_ACTIVITY
49,61,HAS_ACTIVITY
49,62,HAS_ACTIVITY
49,63,HAS_ACTIVITY
49,64,HAS_ACTIVITY
49,65,HAS_ACTIVITY
49,66,HAS_HOTEL
67,68,HAS_CITY
67,69,HAS_CITY
67,70,HAS_COUNTRY
67,71,HAS_RESTAURANT
67,72,HAS_RESTAURANT
67,73,HAS_RESTAURANT
67,74,HAS_RESTAURANT
67,75,HAS_RESTAURANT
67,76,HAS_RESTAURANT
67,77,HAS_RESTAURANT
67,78,HAS_HOTEL
79,80,HAS_CITY
79,81,HAS_COUNTRY
79,82,HAS_HOTEL
79,83,HAS_HOTEL
79,84,HAS_HOTEL
85,86,HAS_CITY
85,87,HAS_CITY
85,88,HAS_CITY
85,89,HAS_COUNTRY
85,90,HAS_ACTIVITY
85,91,HAS_ACTIVITY
85,92,HAS_ACTIVITY
85,93,HAS_HOTEL
85,94,HAS_HOTEL
95,96,HAS_CITY
95,97,HAS_COUNTRY
95,98,HAS_ACTIVITY
95,99,HAS_ACTIVITY
95,100,HAS_ACTIVITY
95,101,HAS_ACTIVITY
95,102,HAS_ACTIVITY
95,103,HAS_RESTAURANT
95,104,HAS_RESTAURANT
95,105,HAS_RESTAURANT
106,107,HAS_CITY
106,108,HAS_CITY
