start,type,end
59. Venedik Bienali,HAS_HIGHLIGHT,Bienal
59. Venedik Bienali,HAS_HIGHLIGHT,Sanat
59. Venedik Bienali,HAS_TRANSPORT,Türk Hava Yolları TK1867
59. Venedik Bienali,HAS_CITY,Venedik
59. Venedik Bienali,HAS_HIGHLIGHT,Venedik
59. Venedik Bienali,HAS_COUNTRY,İtalya
59. Venedik Bienali,HAS_HIGHLIGHT,İtalya
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_END,2025-06-23
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Napoli
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Pompei
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Ravello
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Sorrento
AMALFI TURU 20 – 23 HAZİRAN,HAS_SEASON,Yaz
AMALFI TURU 20 – 23 HAZİRAN,HAS_COUNTRY,İtalya
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_END,2025-06-24
AMALFI TURU 20 – 24 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 24 HAZİRAN,HAS_SEASON,Yaz
AMALFI TURU 20 – 24 HAZİRAN,HAS_COUNTRY,İtalya
ARLES TURU 03 – 06 EKİM,HAS_DATE_START,2025-10-03
ARLES TURU 03 – 06 EKİM,HAS_DATE_END,2025-10-06
ARLES TURU 03 – 06 EKİM,HAS_CITY,Arles
ARLES TURU 03 – 06 EKİM,HAS_CITY,Avignon
ARLES TURU 03 – 06 EKİM,HAS_COUNTRY,Fransa
ARLES TURU 03 – 06 EKİM,HAS_CITY,L'Isle-sur-la-Sorgue
ARLES TURU 03 – 06 EKİM,HAS_CITY,Les Baux-de-Provence
ARLES TURU 03 – 06 EKİM,HAS_SEASON,Sonbahar
Athens,HAS_ACTIVITY,ACROPOLIS TOUR
ATHENS,HAS_HOTEL,ATHENS PLAZA HOTEL
ATHENS,HAS_RESTAURANT,TAVERNAS
Salonicco,HAS_HOTEL,THESSALONIKI INN
Salonicco,HAS_ACTIVITY,THESSALONIKI OLD TOWN
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Auckland
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Avustralya
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Gold Coast
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Queenstown
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Rotorua
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Singapore
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Singapur
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Sydney
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Tekapo
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Wellington
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Yeni Zelanda
Dubai,HAS_HOTEL,"Address Dubai Mall, Dubai"
ROME,HAS_ACTIVITY,Dubai Autodrome Circuit
Dubai,HAS_RESTAURANT,Estiatorio Milos Dubai
Abou Dabi (ville),HAS_ACTIVITY,Ferrari World Abu Dhabi – Driving Experience
Abou Dabi (ville),HAS_RESTAURANT,Hakkasan Abu Dhabi
Abu Dhabi,HAS_RESTAURANT,La Cantine Beach
Abou Dabi (ville),HAS_ACTIVITY,"Louvre Museum, Abu Dhabi"
Dubai,HAS_ACTIVITY,New Year's Eve Celebration - The Restaurant at Address Dubai Mall
Venedik,HAS_ACTIVITY,Sunset Electric Dragon Boat Experience - Jubail Mangrove Park
Dubai,HAS_RESTAURANT,The Guild Dubai
Abu Dhabi,HAS_RESTAURANT,The MAINE Oyster Bar & Grill JBR
Dubai,HAS_RESTAURANT,The Restaurant at Address Dubai Mall
Ras Al Khaimah,HAS_HOTEL,The Ritz Carlton Ras Al Khaimah
Abou Dabi (ville),HAS_HOTEL,"The St. Regis Saadiyat Island Resort, Abu Dhabi"
Abu Dhabi,HAS_RESTAURANT,Ula Beach RAK
Dubai,HAS_RESTAURANT,WHITE Beach Dubai
Venedik,HAS_ACTIVITY,Çöl Safarisi
Venedik,HAS_ACTIVITY,Çölde Akşam Yemeği
Hahndorf,HAS_ACTIVITY,Alman Kasabası Hahndorf
Lima,HAS_ACTIVITY,Anayasa Limanı - Hobart
Gallipoli,HAS_ACTIVITY,Anzac-Atatürk Anıtı
Venedik,HAS_ACTIVITY,Ateş Böceği Mağarası
Barossa Valley,HAS_ACTIVITY,Barossa Valley Şarap Bağları
Brisbane,HAS_ACTIVITY,Brisbane Şehir Turu
Canberra,HAS_ACTIVITY,Canberra Şehir Turu
Venedik,HAS_ACTIVITY,Darling Harbour
Venedik,HAS_ACTIVITY,Fitzroy Gardens & Captain Cook’un Evi
Hobart,HAS_ACTIVITY,Franklin Meydanı - Hobart
Sidney,HAS_ACTIVITY,Hyde Park Barracks - Sydney
Melbourne,HAS_ACTIVITY,Melbourne Müzesi
Venedik,HAS_ACTIVITY,Mount Wellington
Venedik,HAS_ACTIVITY,Mrs Macquarie’s Chair
Adelaide,HAS_RESTAURANT,Nehir Kenarı Restoran - Adelaide
Melbourne,HAS_ACTIVITY,Parlamento ve Hazine Binası - Melbourne
Melbourne,HAS_ACTIVITY,Royal Exhibition Binası - Melbourne
Melbourne,HAS_ACTIVITY,Sanat Galerisi - Melbourne
Venedik,HAS_ACTIVITY,Sullivan’s Cove
Surfers Paradise,HAS_ACTIVITY,Surfers Paradise - Gold Coast
Sidney,HAS_ACTIVITY,Sydney Harbour Bridge
Sidney,HAS_ACTIVITY,Sydney Opera House
Hobart,HAS_HOTEL,"The Tasman, a Luxury Collection Hotel, Hobart"
Sidney,HAS_ACTIVITY,Ulusal Müze - Sydney
Adelaide,HAS_RESTAURANT,Yerel Lüks Restoran - Adelaide
Arles,HAS_ACTIVITY,Arles Luma Müzesi ziyareti
Arles,HAS_ACTIVITY,Arles şehir gezisi
Venedik,HAS_ACTIVITY,Atelier de Cezanne ziyareti
Venedik,HAS_ACTIVITY,Carrières de Lumières ziyareti
Aix-en-Provence,HAS_RESTAURANT,Château La Coste
Venedik,HAS_ACTIVITY,Château La Coste sanat ve mimari gezisi
Venedik,HAS_ACTIVITY,Château La Coste şarap evi ve bahçeleri ziyareti
Arles,HAS_ACTIVITY,Fondation Vincent van Gogh Arles ziyareti
Aix-en-Provence,HAS_RESTAURANT,La Luma Drum Cafe
Aix-en-Provence,HAS_RESTAURANT,Les Deux Garçons
Venedik,HAS_ACTIVITY,Les Deux Garçons’da kahve molası
Venedik,HAS_ACTIVITY,Mirabeau Caddesi’nde gezinti
Venedik,HAS_ACTIVITY,Mucem Müzesi ziyareti
Venedik,HAS_ACTIVITY,Palais des Papes ziyareti
Rossiglione (regione),HAS_ACTIVITY,Roussillon ve Gordes gezisi
Venedik,HAS_ACTIVITY,Saint-Paul de Mausole ziyareti
Alberobello,HAS_ACTIVITY,Alberobello Trulli Evleri
Rome,HAS_ACTIVITY,Antik Roma Amfitiyatrosu
Bari,HAS_ACTIVITY,Bari Şehir Gezisi
Fes,HAS_HOTEL,Canne Bianche Lifestyle & Hotel
Polignano a Mare,HAS_ACTIVITY,Domenico Modugno Heykeli - Polignano a Mare
Venedik,HAS_ACTIVITY,Hohenstaufen Kalesi
Lecce,HAS_ACTIVITY,Lecce Şehir Gezisi
Locorotondo,HAS_ACTIVITY,Locorotondo Şehir Gezisi
Matera,HAS_ACTIVITY,Matera Gezisi
Matera,HAS_ACTIVITY,Matera Kaya Evleri
Matera,HAS_ACTIVITY,Matera Kiliseleri ve Mağaraları
Monopoli,HAS_ACTIVITY,Monopoli Gezisi
Monopoli,HAS_ACTIVITY,Monopoli Tarihi Merkezi
Naples,HAS_ACTIVITY,Napoli Tarihi Merkezi
Venedik,HAS_ACTIVITY,Old Town
Venedik,HAS_ACTIVITY,Palazzo dei Celestini
Lecce,HAS_ACTIVITY,Palazzo dei Celestini - Lecce
Alberobello,HAS_RESTAURANT,Pizzeria Casa Pinto
