start,type,end
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Brezilya
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Arjantin
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Şili
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Rio de Janeiro
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Iguazu
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Buenos Aires
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Cape Horn
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Magdalena Adası
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Santiago
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_START,2025-01-04
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_END,2025-01-22
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_SEASON,Kış
UNKNOWN,HAS_ACTIVITY,Vista Chinesa
Rio de Janeiro,HAS_ACTIVITY,Amanhã (Yarının Müzesi)
UNKNOWN,HAS_ACTIVITY,Iguazú Şelaleleri
UNKNOWN,HAS_ACTIVITY,Iguazú Milli Parkı
UNKNOWN,HAS_ACTIVITY,Macuco Safarisi
UNKNOWN,HAS_ACTIVITY,Plaza de Mayo
UNKNOWN,HAS_ACTIVITY,Casa Rosada
UNKNOWN,HAS_ACTIVITY,San Telmo
UNKNOWN,HAS_ACTIVITY,La Boca
Buenos Aires,HAS_ACTIVITY,Buenos Aires Modern Sanat Müzesi
UNKNOWN,HAS_ACTIVITY,Plaza Dorrego
UNKNOWN,HAS_ACTIVITY,Palermo Soho
UNKNOWN,HAS_ACTIVITY,Recoleta Semti
UNKNOWN,HAS_ACTIVITY,Recoleta Mezarlığı
UNKNOWN,HAS_ACTIVITY,Rojo Tango Gösterisi
Cape Horn,HAS_ACTIVITY,Cape Horn
Magdalena Adası,HAS_ACTIVITY,Magdalena Adası
UNKNOWN,HAS_ACTIVITY,Plaza de Armas
Santiago,HAS_ACTIVITY,Santiago Katedrali
UNKNOWN,HAS_ACTIVITY,Belediye Binası
UNKNOWN,HAS_ACTIVITY,Merkez Postane
UNKNOWN,HAS_ACTIVITY,Ulusal Tarih Müzesi
Rio de Janeiro,HAS_RESTAURANT,Satyricon Restaurant
Rio de Janeiro,HAS_RESTAURANT,La Cabrera Restaurant
Rio de Janeiro,HAS_RESTAURANT,Fervor Restaurant
İZLANDA TURU 18 – 24 MAYIS,HAS_COUNTRY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_CITY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_START,2025-05-18
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_END,2025-05-24
İZLANDA TURU 18 – 24 MAYIS,HAS_SEASON,İlkbahar
