start,end,type
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Rio de Janeiro,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Iguazu,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Buenos Aires,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Cape Horn,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Magdalena Adası,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Santiago,HAS_CITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Brezilya,HAS_COUNTRY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Arjantin,HAS_COUNTRY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Şili,HAS_COUNTRY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Satyricon Restaurant,HAS_RESTAURANT
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,La Cabrera Restaurant,HAS_RESTAURANT
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Fervor Restaurant,HAS_RESTAURANT
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Vista Chinesa,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Amanhã (Yarının Müzesi),HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Iguazú Şelaleleri,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Iguazú Milli Parkı,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Macuco Safarisi,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Plaza de Mayo,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Casa Rosada,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,San Telmo,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,La Boca,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Buenos Aires Modern Sanat Müzesi,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Plaza Dorrego,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Palermo Soho,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Recoleta Semti,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Recoleta Mezarlığı,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Rojo Tango Gösterisi,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Cape Horn,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Magdalena Adası,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Plaza de Armas,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Santiago Katedrali,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Belediye Binası,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Merkez Postane,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Ulusal Tarih Müzesi,HAS_ACTIVITY
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,Kış,HAS_SEASON
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,DATE_2025-01-04,HAS_DATE_START
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,DATE_2025-01-22,HAS_DATE_END
İZLANDA TURU 18 – 24 MAYIS,İzlanda,HAS_CITY
İZLANDA TURU 18 – 24 MAYIS,İzlanda,HAS_COUNTRY
İZLANDA TURU 18 – 24 MAYIS,Hali Country Hotel,HAS_HOTEL
İZLANDA TURU 18 – 24 MAYIS,Fosshotel Glacier Lagoon,HAS_HOTEL
İZLANDA TURU 18 – 24 MAYIS,Blue Lagoon,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Kerid Crater Lake,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Skaftafell National Park,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Ice Cave,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Svartifoss Şelalesi,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Fjallsárlón Glacier Lagoon,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Jökulsárlón Glacier Lagoon,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,Goðafoss Şelalesi,HAS_ACTIVITY
İZLANDA TURU 18 – 24 MAYIS,İlkbahar,HAS_SEASON
İZLANDA TURU 18 – 24 MAYIS,DATE_2025-05-18,HAS_DATE_START
İZLANDA TURU 18 – 24 MAYIS,DATE_2025-05-24,HAS_DATE_END
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Cape Town,HAS_CITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Stellenbosch,HAS_CITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Franschhoek,HAS_CITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kimberley,HAS_CITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Güney Afrika,HAS_COUNTRY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Babel Hotel,HAS_HOTEL
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Cape Town & Masa Dağı Gezisi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Zeitz Çağdaş Sanatlar Müzesi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Cape Point & Ümit Burnu,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Boulders Penguen Kolonisi,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Stellenbosch Şarap Evleri,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Franschhoek Şarap Bağları,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,La Motte Şarap Tadımı,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Matjiesfontein Köyü,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kimberley Diamond Mine & Big Hole,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Sabah Safari,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Akşam Safari,HAS_ACTIVITY
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kış,HAS_SEASON
GÜNEY AFRİKA TURU 07 – 16 ARALIK,DATE_2025-12-07,HAS_DATE_START
GÜNEY AFRİKA TURU 07 – 16 ARALIK,DATE_2025-12-16,HAS_DATE_END
VENEDİK & MİLANO TURU 08 – 12,Venedik,HAS_CITY
VENEDİK & MİLANO TURU 08 – 12,Milano,HAS_CITY
VENEDİK & MİLANO TURU 08 – 12,İtalya,HAS_COUNTRY
VENEDİK & MİLANO TURU 08 – 12,Hotel Ai Cavalieri,HAS_HOTEL
VENEDİK & MİLANO TURU 08 – 12,Ristorante Da Ivo,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Ristorante Acqua Pazza,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Osteria Enoteca San Marco,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Restaurant Terrazza Danieli,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Da Giacomo,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Il Salumaio di Montenapoleone,HAS_RESTAURANT
VENEDİK & MİLANO TURU 08 – 12,Solferino Restaurant,HAS_RESTAURANT
MALDİVLER TURU 08 – 15 OCAK 2024,Maldivler,HAS_CITY
MALDİVLER TURU 08 – 15 OCAK 2024,Maldivler,HAS_COUNTRY
MALDİVLER TURU 08 – 15 OCAK 2024,Beach Villa with Pool,HAS_HOTEL
MALDİVLER TURU 08 – 15 OCAK 2024,Water Villa with Pool,HAS_HOTEL
MALDİVLER TURU 08 – 15 OCAK 2024,Water Villa One Bedroom,HAS_HOTEL
MALDİVLER TURU 08 – 15 OCAK 2024,Kış,HAS_SEASON
MALDİVLER TURU 08 – 15 OCAK 2024,DATE_2024-01-08,HAS_DATE_START
MALDİVLER TURU 08 – 15 OCAK 2024,DATE_2024-01-15,HAS_DATE_END
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Arusha,HAS_CITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Serengeti,HAS_CITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Zanzibar,HAS_CITY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Tanzanya,HAS_COUNTRY
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Singita Lodge,HAS_HOTEL
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,Singita Sasakawa Lodge,HAS_HOTEL
