start,end,type,city,activity
59. Venedik Bienali,Bienal,HAS_HIGHLIGHT,,
59. Venedik Bienali,Sanat,HAS_HIGHLIGHT,,
59. Venedik Bienali,Türk Hava Yolları TK1867,HAS_TRANSPORT,,
59. Venedik Bienali,Venedik,HAS_CITY,,
59. Venedik Bienali,Venedik,HAS_HIGHLIGHT,,
59. Venedik Bienali,İtalya,HAS_COUNTRY,,
59. Venedik Bienali,İtalya,HAS_HIGHLIGHT,,
AMALFI TURU 20 – 23 HAZİRAN,2025-06-20,HAS_DATE_START,,
AMALFI TURU 20 – 23 HAZİRAN,2025-06-23,HAS_DATE_END,,
AMALFI TURU 20 – 23 HAZİRAN,Amalfi,HAS_CITY,,
AMALFI TURU 20 – 23 HAZİRAN,Napoli,HAS_CITY,,
AMALFI TURU 20 – 23 HAZİRAN,Pompei,HAS_CITY,,
AMALFI TURU 20 – 23 HAZİRAN,Ravello,HAS_CITY,,
AMALFI TURU 20 – 23 HAZİRAN,Sorrento,HAS_CITY,,
AMALFI TURU 20 – 23 HAZİRAN,Yaz,HAS_SEASON,,
AMALFI TURU 20 – 23 HAZİRAN,İtalya,HAS_COUNTRY,,
AMALFI TURU 20 – 24 HAZİRAN,2025-06-20,HAS_DATE_START,,
AMALFI TURU 20 – 24 HAZİRAN,2025-06-24,HAS_DATE_END,,
AMALFI TURU 20 – 24 HAZİRAN,Amalfi,HAS_CITY,,
AMALFI TURU 20 – 24 HAZİRAN,Yaz,HAS_SEASON,,
AMALFI TURU 20 – 24 HAZİRAN,İtalya,HAS_COUNTRY,,
ARLES TURU 03 – 06 EKİM,2025-10-03,HAS_DATE_START,,
ARLES TURU 03 – 06 EKİM,2025-10-06,HAS_DATE_END,,
ARLES TURU 03 – 06 EKİM,Arles,HAS_CITY,,
ARLES TURU 03 – 06 EKİM,Avignon,HAS_CITY,,
ARLES TURU 03 – 06 EKİM,Fransa,HAS_COUNTRY,,
ARLES TURU 03 – 06 EKİM,L'Isle-sur-la-Sorgue,HAS_CITY,,
ARLES TURU 03 – 06 EKİM,Les Baux-de-Provence,HAS_CITY,,
ARLES TURU 03 – 06 EKİM,Sonbahar,HAS_SEASON,,
ATHENS,ACROPOLIS TOUR,HAS_ACTIVITY,,
ATHENS,ATHENS PLAZA HOTEL,HAS_HOTEL,,
ATHENS,TAVERNAS,HAS_RESTAURANT,,
ATHENS,THESSALONIKI INN,HAS_HOTEL,,
ATHENS,THESSALONIKI OLD TOWN,HAS_ACTIVITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Auckland,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Avustralya,HAS_COUNTRY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Gold Coast,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Queenstown,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Rotorua,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapore,HAS_CITY,,
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapur,HAS_COUNTRY,,
